episode,total_reward
1,-1070.6997864693403
2,-1375.3975186571479
3,-601.7089652121067
4,-1245.0234047621489
5,-1355.2049094885588
6,-1338.0999433845282
7,-1376.481013737619
8,-1504.6684182956815
9,-1493.879412189126
10,-1514.0274132788181
11,-1504.0225128009915
12,-1494.110648855567
13,-1504.9375349283218
14,-1502.6155297458172
15,-1498.542897067964
16,-1494.0445058345795
17,-1504.672236353159
18,-1505.1787303686142
19,-1505.410247988999
20,-1506.1314239799976
21,-1504.9460006728768
22,-1504.677348650992
23,-1504.2808583155274
24,-1495.6486941576004
25,-1506.407245196402
26,-1505.2549970522523
27,-1495.474870376289
28,-1495.3409583121538
