episode,total_reward
1,-1387.6008611768484
2,-1579.1398654803634
3,-1817.7297491654754
4,-1812.797156341374
5,-1813.73422177881
6,-1813.1767679229379
7,-1183.4853912219405
8,-769.9336711093783
9,-718.400546438992
10,-690.1900708377361
11,-683.4488907158375
12,-699.1685496121645
13,-675.8304351270199
14,-779.4899570718408
15,-656.2113190591335
16,-638.6186686754227
17,-651.2232471108437
18,-591.8476431369781
19,-618.2681808769703
20,-630.335350394249
21,-589.4896194040775
22,-647.8787620961666
23,-621.0554096698761
24,-610.0072642564774
25,-589.1286757588387
26,-603.9680447876453
27,-611.8460617661476
28,-624.9998553395271
29,-618.1864827573299
30,-604.4564183652401
31,-606.7138092517853
32,-600.5605758428574
33,-636.5833773612976
34,-610.1170544624329
35,-610.9522014856339
36,-630.3157823085785
37,-632.8282069265842
38,-686.910403944552
39,-705.792052000761
40,-764.1128196045756
41,-1808.7032713666558
42,-1811.2513966560364
43,-1812.9839981719851
44,-1663.1970229744911
45,-1551.7000634595752
46,-1807.375732935965
47,-728.4602295458317
48,-1690.7018320709467
49,-669.7011310607195
50,-594.588320761919
51,-625.2992351651192
52,-733.3687233477831
53,-617.6275531351566
54,-772.343307569623
55,-659.2087227106094
56,-709.5856389626861
57,-744.7296103015542
58,-641.2261545062065
59,-608.5353148877621
60,-1795.443371705711
61,-1811.6798339784145
62,-1812.5964599177241
63,-1812.6629021167755
64,-1811.9102003499866
65,-1814.469649091363
66,-1813.3008544817567
67,-1783.5462346710265
68,-1814.0456666499376
69,-1812.5515159890056
70,-1812.7539839595556
71,-1812.8272053077817
72,-1813.1999731063843
73,-1812.1940150298178
74,-1812.010353434831
75,-1805.3948113918304
76,-1812.3013120666146
77,-1810.6700295060873
78,-1810.618936792016
79,-1812.2357489466667
80,-1811.7063288465142
81,-1812.1938124746084
82,-1812.461699962616
83,-1794.8039367347956
84,-1782.1918258741498
85,-1791.850008174777
86,-1813.058759637177
87,-1812.0054044276476
88,-1813.9614981934428
89,-1802.2434861958027
90,-1812.4691916033626
91,-1813.263817705214
92,-1812.1864258646965
93,-1813.2641645222902
94,-1803.8252582028508
95,-1812.939090654254
96,-1803.0490981787443
97,-1802.9508351385593
98,-1808.2100342065096
99,-1811.859322860837
100,-1821.0032923445106
101,-1810.7068605348468
102,-1807.9133195281029
103,-656.5647341236472
104,-683.038655102253
105,-640.9003813415766
106,-643.6669517382979
107,-717.9176484495401
108,-658.7418124973774
109,-716.0303099229932
110,-673.2965297177434
111,-751.9271204322577
112,-625.8343721032143
113,-757.8207812830806
114,-862.4862429872155
115,-656.054999627173
116,-645.0378051102161
117,-652.5108689591289
118,-714.4073032215238
119,-696.8757014870644
120,-1221.9104158878326
121,-1055.1651188135147
122,-1388.0251897126436
123,-1479.0172573029995
124,-955.9012971967459
125,-730.5914171487093
126,-642.3082011938095
127,-1812.2274252064526
128,-954.8930274769664
129,-1539.3129550293088
130,-1810.52638733387
131,-1811.4653239697218
132,-1288.6328626945615
133,-1665.2938166037202
134,-637.1690929532051
135,-1689.9830273762345
136,-621.1765279173851
137,-1808.8838579580188
138,-1812.5802333578467
139,-1811.0307796001434
140,-1781.381953805685
141,-1811.8407983481884
142,-1791.357712008059
143,-1810.129548214376
144,-1225.1384119465947
145,-1810.5054561197758
146,-1524.072953313589
147,-1811.6064562350512
148,-1537.291571855545
149,-1116.5056586712599
150,-1804.035328142345
151,-662.1801454797387
152,-683.7490309104323
153,-1505.6945977061987
154,-1016.2346557751298
155,-668.0347307771444
156,-688.2195971608162
157,-671.3690058663487
158,-685.4444784298539
159,-663.5984887778759
160,-1066.4587248116732
161,-748.3626754805446
162,-658.1863611638546
163,-665.8072664290667
164,-688.8573809638619
165,-696.3823991641402
166,-688.699026465416
167,-1097.4592224359512
168,-668.3624957054853
169,-897.3223148360848
170,-668.9555541276932
171,-683.8143132552505
172,-706.5248521640897
173,-664.3199628666043
174,-679.0951956659555
175,-831.0491693541408
176,-1012.2384483292699
177,-1630.226749137044
178,-653.988099321723
179,-632.2862145230174
180,-978.3694727420807
181,-662.3473103195429
182,-647.6508552059531
183,-960.2264843508601
184,-938.1960934177041
185,-930.1573422700167
186,-860.5365385860205
187,-983.0717965438962
188,-676.0050400495529
189,-945.7378106415272
190,-686.8935188725591
191,-1195.0602387413383
192,-668.649509459734
193,-673.9652379527688
194,-672.7571475803852
195,-685.9929179549217
196,-711.393733471632
197,-696.6657226085663
198,-571.5850745365024
199,-694.5507207587361
200,-761.8080910407007
201,-669.9747854173183
202,-618.9250175580382
203,-738.352244399488
204,-740.3049481511116
205,-721.7777154669166
206,-793.0766962841153
207,-628.2518230080605
208,-733.0950679183006
209,-690.211304679513
210,-705.1613901481032
211,-735.4593466594815
212,-697.6972687318921
213,-683.7266947254539
214,-585.6864246055484
215,-663.3876332491636
216,-697.5298426151276
217,-666.0709585770965
218,-695.3640198037028
219,-569.4213988408446
220,-768.0652475655079
221,-674.3313727453351
222,-718.9313126429915
223,-648.8524013757706
224,-757.2024930045009
225,-777.4043068438768
226,-745.068339779973
227,-717.066578567028
228,-725.1760584115982
