episode,total_reward
1,-979.8117165341973
2,-1504.9570723250508
3,-1505.585148923099
4,-1505.706612713635
5,-1505.8649383634329
6,-741.5689395144582
7,-880.7635393217206
8,-1069.919552206993
9,-867.987513422966
10,-936.7207987308502
11,-820.0691444799304
12,-1506.809265062213
13,-1505.5082870349288
14,-1505.0703229531646
15,-1505.6229628175497
16,-1505.4364814013243
17,-1505.9662103131413
18,-1506.2166690006852
19,-1505.950756303966
20,-1506.1311713308096
21,-1495.2519371137023
22,-1505.0892066806555
23,-1506.7502170428634
24,-1494.1013034954667
25,-1515.3333163112402
26,-1506.4611481949687
27,-1506.1817061826587
28,-1505.269707262516
29,-1505.780778490007
30,-1505.2774268612266
