episode,total_reward
1,-1070.1193404197693
2,-1499.5191323682666
3,-1489.5408467054367
4,-1506.0305129215121
5,-1504.7477491647005
6,-1506.4997111186385
7,-1505.1254976987839
8,-1453.1428133770823
9,-1043.8871740177274
10,-987.8211620077491
11,-696.1848983690143
12,-645.6664534807205
13,-648.6331668198109
14,-589.6132220029831
15,-565.9459584951401
16,-576.9335188567638
17,-576.9275460839272
18,-581.741461455822
19,-571.692043364048
20,-579.8949135541916
21,-616.4187063872814
22,-576.5617721676826
23,-617.0688337087631
24,-591.3326292335987
25,-576.1420497000217
26,-576.3381974697113
27,-605.9429543018341
28,-589.6092926561832
29,-574.3275238573551
30,-585.1901960372925
31,-584.1207277774811
32,-577.7684924006462
33,-574.4084463715553
34,-579.9458539187908
35,-581.7911648750305
36,-596.0486665070057
37,-576.758426785469
38,-552.816208422184
39,-595.3683072328568
40,-604.9619279503822
41,-584.2264769077301
42,-575.0831232666969
43,-587.0708738565445
44,-601.9743257462978
45,-601.1116551160812
46,-594.4167786538601
47,-604.4221900701523
48,-584.2430025041103
49,-596.3003587275743
50,-569.3838902711868
51,-579.7201136946678
52,-586.587292432785
53,-583.926267683506
54,-620.428626537323
55,-582.0047023892403
56,-586.1107196211815
57,-578.7514701485634
58,-576.2304356098175
59,-594.7954554259777
60,-598.1716051399708
61,-579.5127899944782
62,-607.0220065116882
63,-600.7811238467693
64,-586.4536651670933
65,-564.123867213726
66,-579.9834814071655
67,-576.8085027337074
68,-596.062044531107
69,-574.560753941536
70,-589.637589097023
71,-604.0965111255646
72,-572.5268800258636
73,-559.223770737648
74,-584.9006533324718
75,-570.1681083142757
76,-589.1658420860767
77,-599.2830560058355
78,-574.1875309348106
79,-568.4018976688385
80,-569.9101014733315
81,-587.9250503182411
82,-595.7364342212677
83,-577.7651454210281
84,-590.7828713655472
85,-589.8117716610432
86,-585.5052495896816
87,-588.6309671401978
88,-586.4481249451637
89,-576.3219139575958
90,-1278.9554847851396
91,-1506.5999525040388
92,-1506.5459976568818
93,-1506.3428718224168
94,-1515.435965411365
95,-1504.1983559578657
96,-1505.9209982007742
97,-1505.2697174847126
98,-1506.328022815287
99,-1496.1270592287183
100,-1505.9914375394583
101,-1505.447478607297
102,-1503.0645773559809
103,-1491.5610083788633
104,-1502.7406727448106
105,-1493.8741942159832
106,-1503.884069301188
107,-1504.3529823049903
108,-1486.648946866393
109,-1250.2330811545253
110,-1505.7101603373885
111,-1495.6717457771301
112,-1505.7179881967604
113,-1504.8500911667943
114,-1495.3211403265595
115,-1405.3021180555224
116,-573.246749162674
117,-579.7321363389492
118,-1278.255362085998
119,-572.342707157135
120,-584.5917096138
121,-593.7518902420998
122,-591.1075760424137
123,-710.5705439671874
124,-594.9688225388527
125,-579.7259684726596
126,-574.2870091199875
127,-585.3355535268784
128,-570.6788955926895
129,-564.2764059901237
130,-603.1237373352051
131,-584.3834979236126
132,-567.5986355543137
133,-582.5573861300945
134,-588.8945381939411
135,-571.8524131476879
136,-582.1021353900433
137,-593.5170582532883
138,-577.6939194500446
139,-590.8618515133858
140,-605.5966645479202
141,-591.3532173037529
142,-585.2676414251328
143,-564.2457402348518
144,-568.3138406276703
145,-568.5208543539047
146,-575.0511199235916
147,-579.3432039022446
148,-584.5947902798653
149,-567.4250620007515
150,-603.3309293985367
151,-576.9545552134514
152,-611.6060123592615
153,-580.4075027108192
154,-601.8148854374886
155,-590.9805121421814
156,-565.0975959300995
157,-594.9167650043964
158,-593.8078974187374
159,-591.9092548787594
160,-585.3542791008949
161,-568.4945026636124
162,-579.4531413912773
163,-586.9817762970924
164,-589.9647741615772
165,-602.5986040830612
166,-560.2793935537338
167,-659.1384671032429
168,-584.8037232458591
169,-577.3534329533577
170,-581.0236522555351
171,-572.8341293931007
172,-579.0487340986729
173,-580.178012907505
174,-592.1901714205742
175,-582.8094652891159
176,-572.1589877605438
177,-592.6088913679123
178,-589.0589224100113
179,-565.606695830822
