episode,total_reward
1,-2003.5489942505956
2,-2992.6670820713043
3,-3582.974617600441
4,-3851.9657448530197
5,-3845.48267570138
6,-3020.4180240035057
7,-2968.667168535292
8,-2963.7996354326606
9,-2972.9888873919845
10,-2972.4172114655375
11,-2983.5688305422664
12,-2963.2182383164763
13,-2962.066159926355
14,-2973.6300955563784
15,-2972.487436875701
16,-2973.442011617124
17,-2973.335449755192
18,-2973.0984714776278
19,-2973.1468851342797
20,-2972.5949530154467
21,-2972.336292989552
22,-2972.708664253354
23,-2972.559600800276
24,-2972.3405986502767
25,-2962.2647488489747
26,-2973.474502019584
27,-2963.4767646715045
28,-2971.6945513635874
29,-2974.60623075068
30,-2972.112086445093
31,-2962.392028413713
32,-2973.3302785232663
33,-2973.2684604153037
34,-2973.918540969491
35,-2972.7932297438383
36,-2973.8091900348663
37,-2974.0569121837616
38,-2972.9964791461825
39,-2972.361782081425
40,-2972.682077936828
41,-2972.6511052176356
42,-2973.9421902373433
43,-2963.30482532084
44,-2973.392108090222
45,-2973.008217163384
46,-2973.6787347495556
47,-2973.8805862888694
48,-2973.0446029901505
49,-2972.8271626234055
50,-2972.8482461050153
51,-2974.0260907635093
52,-2972.801169164479
53,-2973.392174348235
54,-2973.635203950107
55,-2971.9099886491895
56,-2972.278121255338
57,-2973.958752848208
58,-2973.8448838591576
59,-2963.868200458586
60,-2973.5740860179067
61,-2972.8029646128416
62,-2972.5284958705306
63,-2972.863002926111
64,-2973.4010450541973
65,-2973.806789726019
66,-2973.00800075382
67,-2972.97008164227
68,-2973.39674256742
69,-2972.8752486631274
70,-2972.7598215043545
71,-2973.8257562592626
72,-2973.8596535250545
73,-2973.2353251725435
74,-2964.354065582156
75,-2963.8313464820385
76,-2974.1980738267303
77,-2962.567882016301
78,-2973.3743786737323
79,-2972.4024927020073
80,-2972.667432129383
81,-2962.7450693920255
82,-2972.3550582900643
83,-2973.7893319875
84,-2972.1131458953023
85,-2972.106498338282
86,-2973.505038522184
87,-2973.9546494707465
88,-2973.7922657355666
89,-2982.7468718141317
90,-1936.9400691390038
91,-3825.7699475884438
92,-3854.8059458732605
93,-3449.8611283302307
94,-3843.814076900482
95,-3836.6090487241745
96,-3835.3275129795074
97,-3841.3252826929092
98,-3809.7522447407246
99,-3871.5813613533974
100,-3870.163520962
101,-3852.367804288864
102,-3833.4500688016415
103,-3840.869076102972
104,-3038.9813186973333
105,-3810.9892713427544
106,-3838.2860692739487
107,-3875.8033162653446
108,-3841.7446228265762
109,-3868.758694410324
110,-3820.4371760487556
111,-3808.386023938656
112,-3865.6435637772083
113,-3885.928775727749
114,-3855.3779170513153
