episode,total_reward
1,-1080.464678645134
2,-1466.6990763917565
3,-1273.3904170244932
4,-1335.7367737591267
5,-1208.8302718102932
6,-1219.7947497665882
7,-1445.1174024045467
8,-1375.559604242444
9,-1094.6203856766224
10,-766.1535716205835
11,-1209.814956113696
12,-868.9432936012745
13,-1053.9135003685951
14,-677.5029970407486
15,-718.0015324354172
16,-582.0014696717262
17,-935.3327058255672
18,-1374.4943409860134
19,-949.1741354465485
20,-937.565196454525
21,-827.8366109132767
22,-835.3942605257034
23,-1009.1964772641659
24,-1413.561937391758
25,-1366.9455538094044
26,-1415.389286994934
27,-1416.337420284748
28,-1218.6340148448944
29,-1231.1595456302166
30,-1007.8076020181179
31,-1189.4897393584251
32,-698.8794593811035
33,-415.44410222768784
34,-835.1734041571617
35,-644.4853870868683
36,-1076.0963312983513
37,-890.9025158286095
38,-993.7635473012924
39,-981.4804522097111
40,-1132.9919019341469
41,-643.7879984378815
42,-872.8669243752956
43,-916.6486705541611
44,-721.2539791762829
45,-1221.9434290528297
46,-395.16479286551476
47,-351.5589913725853
48,-1401.0489062964916
49,-595.7400840818882
50,-373.56766679883003
51,-356.3103559911251
52,-400.97186321020126
53,-376.44223833084106
54,-1044.050118714571
55,-1307.405717998743
56,-1316.2014158964157
57,-1403.01380738616
58,-1354.6033670306206
59,-1409.1052612364292
60,-1427.021408200264
61,-1386.267631739378
62,-1124.2304518669844
63,-915.4960874840617
64,-1316.645409092307
65,-1244.1718824654818
66,-1026.634344831109
67,-1133.203821927309
68,-1372.6244676560163
69,-967.9907114878297
70,-1427.317403882742
71,-1308.6759426295757
72,-1297.088465064764
73,-1423.1255432069302
74,-1365.1742058694363
75,-1372.5139885395765
