episode,total_reward
1,-1407.4860395491123
2,-1170.2018250524998
3,-1769.6389343738556
4,-1546.1095066219568
5,-709.6216287314892
6,-728.055374532938
7,-722.9110187888145
8,-704.9185367524624
9,-743.7822914421558
10,-782.5726622343063
11,-801.2778892964125
12,-1729.8439858704805
13,-1763.440724477172
14,-1709.3070471733809
15,-1724.1626256778836
16,-1649.2933814004064
17,-1776.1544607505202
18,-1509.8235739767551
19,-1305.2187430486083
20,-585.879836820066
21,-787.5185800716281
22,-724.0354891121387
23,-835.555550172925
24,-729.9612734913826
25,-716.0607379674911
26,-828.4721809402108
27,-765.6334372907877
28,-890.2782670557499
29,-646.3942306563258
30,-1693.704120926559
31,-1801.7038854211569
32,-1803.0836543142796
33,-1793.3777961879969
34,-1803.4289303347468
35,-1793.3758468925953
36,-1802.3717142418027
37,-1803.6249886974692
38,-1802.170992538333
39,-1794.6474959924817
40,-1803.316662505269
41,-1803.5744202956557
42,-1802.570777244866
43,-1803.0200067013502
44,-1803.219701603055
45,-1801.8038392588496
46,-1803.8420380055904
47,-1802.8093720450997
48,-782.7974014952779
49,-726.3234872221947
50,-699.7878754734993
51,-743.6633217930794
52,-710.1722950339317
53,-732.5463193356991
54,-705.4666662216187
55,-722.0594717860222
56,-706.3938006162643
57,-693.9524520635605
58,-702.1852243542671
59,-726.1281126141548
60,-748.2768315374851
61,-701.8797189593315
62,-712.2430589497089
63,-704.2424110174179
64,-705.8924331963062
65,-694.0231649875641
66,-715.837959676981
67,-719.7698537707329
68,-754.0528601706028
69,-744.8165913820267
70,-943.5723162740469
71,-1802.3277287557721
72,-1801.891335874796
73,-1802.8274472653866
74,-1803.3602714538574
75,-1802.7614305391908
76,-1803.3972997814417
77,-1801.3679448589683
78,-1799.5126324743032
79,-1797.0264661982656
80,-1777.4468365609646
81,-1773.932694658637
82,-1436.9632920771837
83,-844.8298756629229
84,-895.1634505018592
85,-899.828713580966
86,-1086.7304826155305
87,-752.0630497857928
88,-847.438039727509
89,-1589.3715991526842
90,-1803.039034679532
91,-1802.6461586803198
92,-1552.8155627176166
93,-995.1574088186026
94,-1375.9238915741444
95,-838.7114647775888
96,-923.8838119357824
97,-1803.366846114397
98,-1585.8301495537162
99,-1791.7894258834422
100,-1339.2143299989402
101,-1781.382929570973
102,-785.1073530837893
103,-764.1473381221294
104,-1036.386704646051
105,-1651.943271510303
106,-1292.7907081469893
107,-1482.1175598204136
108,-1681.5906000882387
109,-969.0141563862562
110,-1735.9513973146677
111,-1752.6828378662467
112,-1698.9060273990035
113,-1755.2440062388778
114,-1703.4565713629127
115,-1643.897810101509
116,-1719.9975404441357
117,-1613.748445302248
118,-1642.0378257632256
119,-1714.1992931365967
120,-1538.3485731258988
121,-791.2046839594841
122,-717.00497636199
123,-761.9878591299057
124,-873.3354344069958
125,-929.7684862613678
126,-1021.1183595657349
127,-1611.175632789731
128,-1799.5018666014075
129,-1798.4935195967555
130,-1802.303250439465
131,-1794.0876570418477
132,-1803.9436765015125
133,-1782.602550804615
134,-1803.2652144953609
135,-1802.8226381465793
136,-1802.4353183209896
137,-1802.266543313861
138,-1790.34593539685
139,-1802.956798106432
140,-1790.2504280246794
141,-1790.1804331243038
142,-1539.0562438890338
143,-1775.7813726514578
144,-933.6060184240341
145,-1770.4418337866664
146,-1798.720682144165
147,-1761.092274978757
148,-1797.7299075350165
149,-1792.2002099454403
150,-1782.297076202929
151,-1798.3527947813272
152,-1802.7026821523905
153,-1802.7918651401997
154,-1802.2444542646408
155,-1803.9976421371102
156,-1793.5821647197008
157,-1792.1806368678808
158,-1789.8532661795616
159,-1682.1481234133244
160,-1705.955769829452
161,-1183.2185157611966
162,-1474.2687556743622
163,-1740.2613389194012
164,-1658.4344966933131
165,-1790.171665340662
166,-1703.5103664547205
167,-1801.0114876069129
168,-1802.0501055717468
169,-1792.3928791806102
170,-1799.2860669717193
171,-1791.9505650550127
172,-1801.5835431441665
173,-1793.9556370899081
