episode,total_reward
259,-596.2967267036438
260,-569.8630645275116
261,-594.9897523522377
262,-599.8263179659843
263,-593.5452543199062
264,-553.5835890769958
265,-603.8532619476318
266,-603.8992383778095
267,-594.7086865007877
268,-596.3953015506268
269,-570.0528119802475
270,-581.6671432852745
271,-588.8180615007877
272,-587.7181090712547
273,-585.3969382941723
274,-581.5013901889324
275,-583.1248123347759
276,-587.1776257753372
277,-618.2116303741932
278,-575.9607592225075
279,-598.8006455600262
280,-600.4511017203331
281,-585.4559457600117
282,-578.1694992780685
283,-612.2253502607346
284,-588.546928524971
285,-604.4012110829353
286,-592.646443426609
287,-579.2038549184799
288,-605.6275587081909
289,-579.6147486567497
290,-590.3152896761894
291,-601.837259799242
292,-568.7687451243401
293,-593.5702086985111
294,-577.2608377933502
295,-606.8110263943672
296,-577.5668371319771
297,-598.9805449843407
298,-594.7160786390305
299,-574.3826884031296
300,-578.0906639993191
301,-585.4130508601665
302,-564.0579612851143
303,-572.8364542722702
304,-586.3885371088982
305,-589.163134098053
306,-569.1550535559654
307,-605.8782106935978
308,-577.6520725488663
309,-586.451724499464
310,-570.9173517823219
311,-599.354002147913
312,-578.6253779828548
313,-571.1618613302708
314,-594.8804542720318
315,-595.2298208475113
316,-570.789697945118
317,-564.8761094808578
318,-572.1249573230743
319,-582.0683490335941
320,-583.5108913183212
321,-581.1413817703724
322,-582.8267759978771
323,-608.2535911798477
324,-556.995258808136
325,-578.6755029857159
326,-572.7933585345745
327,-617.0318459272385
328,-609.8821061849594
329,-563.0628451108932
330,-565.2783702015877
331,-591.8093641102314
332,-562.032472372055
333,-584.4107629656792
334,-564.2966545820236
335,-573.4364234209061
336,-794.8352088034153
337,-582.1502957046032
338,-576.0922177433968
339,-600.3250418901443
340,-593.6732557713985
341,-590.7090460658073
342,-576.2571363151073
343,-576.7012186050415
344,-587.5973243713379
345,-584.22304302454
346,-572.9839422106743
347,-573.96431016922
348,-584.4422254562378
349,-574.7427104711533
350,-599.0127798616886
351,-572.5505177974701
352,-567.7767915129662
353,-569.3002126812935
354,-590.2632505893707
355,-588.2381163239479
356,-593.3508129417896
357,-570.1763873696327
358,-557.594770014286
359,-584.9438033699989
360,-569.7199668288231
361,-584.5598378181458
362,-589.3673106729984
363,-570.9110368490219
364,-591.7337153851986
365,-588.3938454091549
366,-574.226304769516
367,-583.1470818519592
368,-587.6694312095642
369,-575.942770242691
370,-580.3986843824387
371,-580.5756184458733
372,-585.1045036911964
373,-594.2648411095142
374,-594.129373729229
375,-562.8776589632034
376,-570.0828624367714
377,-565.9748448729515
378,-584.6928493380547
379,-583.0991055965424
380,-591.6193892657757
381,-578.1418352723122
382,-579.2460552453995
383,-707.5340349376202
384,-594.9011925458908
385,-575.6336109936237
386,-1237.6898774057627
387,-760.187994658947
388,-589.844204723835
389,-587.9979453384876
390,-563.1190952062607
391,-582.3324836492538
392,-576.2970849871635
393,-589.2826576530933
394,-570.1540775895119
395,-566.3557285070419
396,-586.2907963097095
397,-576.4005975723267
398,-566.553705573082
399,-717.19354814291
400,-697.3899554014206
401,-1075.1553231477737
402,-791.9094375371933
403,-1099.0802200436592
404,-749.4276241958141
405,-752.9278234243393
406,-998.9389283657074
407,-756.4580208361149
408,-759.5763453543186
409,-907.2598332166672
410,-823.6131208240986
411,-753.5251561999321
412,-784.7973141670227
413,-724.1415052711964
414,-746.3182952404022
415,-707.862052321434
416,-784.1236697435379
417,-774.1381860077381
418,-865.3710005283356
419,-775.860346108675
420,-835.2592513561249
421,-753.5424983501434
422,-686.6227568387985
423,-871.470470637083
