episode,total_reward
1,-1286.602552369237
2,-1793.9215983897448
3,-1265.170527279377
4,-811.2872940301895
5,-827.0454731583595
6,-839.1062017977238
7,-815.2196807563305
8,-853.0197856426239
9,-795.4087771177292
10,-836.9338198304176
11,-1787.8754329532385
12,-1802.337481021881
13,-1803.8773822560906
14,-1802.2819101437926
15,-1804.3967044577003
16,-1811.2228644192219
17,-1746.1095572933555
18,-1548.8649205565453
19,-1749.8671440407634
20,-1576.96953894943
21,-1448.6771677732468
22,-1799.7112916782498
23,-1790.815690241754
24,-1759.8884025365114
25,-1802.7556805610657
26,-1801.9822725504637
27,-1802.3963947221637
28,-1799.1489863544703
29,-1793.115704189986
30,-1804.0144502446055
31,-1738.9659476727247
32,-1705.541290089488
33,-1800.8822260200977
34,-1488.1796589493752
35,-1684.2967956215143
36,-1513.406078800559
37,-904.4646987840533
38,-890.1080772951245
39,-1312.0180954784155
40,-1130.129637889564
41,-1728.734425894916
42,-1800.6851084977388
43,-1799.5137968584895
44,-1810.7031777128577
45,-1783.899222254753
46,-826.0675860345364
47,-1784.2183689549565
48,-1787.4342881664634
49,-873.8496521115303
50,-872.1136423647404
51,-852.1447819173336
52,-813.7265177369118
53,-855.2717179656029
54,-874.2091853320599
55,-1318.9084909409285
56,-1756.8837456703186
57,-1280.3375651091337
58,-906.4160066097975
59,-901.2642009034753
60,-1417.27120436728
61,-1773.4483163580298
62,-1803.749468356371
63,-1802.4916166067123
64,-1802.548640318215
65,-1792.5973757132888
66,-1802.7156504243612
67,-1803.6432665288448
68,-1783.6580229103565
69,-1802.8514267131686
70,-1802.5593201443553
71,-1801.981488890946
72,-1803.3685135394335
73,-1802.2895809039474
74,-1802.5854958295822
75,-1803.5381005704403
76,-1802.992605432868
77,-1803.2581886351109
78,-1792.2584654018283
79,-1803.2520925626159
80,-1812.5548319369555
81,-1802.88571113348
82,-1792.513189688325
83,-1802.1209252253175
84,-1803.5241168737411
85,-1812.7332617715
86,-1792.6547018513083
87,-1793.7453482747078
88,-1802.5397212728858
89,-1803.5155463516712
90,-1801.7451291382313
91,-1795.5951184108853
92,-1801.7341616079211
93,-1804.0114892572165
94,-1802.474036604166
95,-1803.8177199661732
96,-1793.3076263442636
97,-1802.8218077868223
98,-1784.5957281813025
99,-1783.0990556403995
100,-1480.779969021678
101,-849.0541677698493
102,-848.6045656129718
103,-1386.5863285027444
104,-1594.5856282114983
105,-1797.0931374430656
106,-1730.802952170372
107,-1695.606989890337
108,-1698.7566870003939
109,-1773.7099434956908
110,-1742.7003585025668
111,-1782.6939441934228
112,-1604.7139496803284
113,-1776.5565151795745
114,-1562.7149644494057
115,-1658.273760203272
116,-1740.8732947409153
117,-1742.446877926588
118,-1301.5290585309267
119,-1749.90846542269
120,-1766.589352183044
121,-1776.2095571495593
122,-1652.9036460742354
123,-1797.489068619907
124,-1793.4976224452257
125,-1774.733022622764
126,-1789.384543903172
127,-1794.4883975163102
128,-1786.060372211039
129,-1766.9409330189228
130,-1760.966808438301
131,-1787.007963910699
132,-1792.395243883133
133,-1784.077789194882
134,-1759.7964110076427
135,-1570.3307044580579
136,-1601.8661583513021
137,-1793.4260404333472
138,-1785.4818645045161
139,-1635.80511379987
140,-1777.8145051449537
141,-1785.0022940635681
