episode,total_reward
1,-1298.4127915427089
2,-1784.2838417366147
3,-1018.3156905472279
4,-725.8141465783119
5,-747.6832906603813
6,-690.5014631152153
7,-742.5614376962185
8,-720.154467523098
9,-724.6316402554512
10,-715.683462202549
11,-738.8763511478901
12,-721.2808603048325
13,-697.4415891170502
14,-742.3995046317577
15,-734.2049549818039
16,-700.6981834173203
17,-722.2687510251999
18,-729.8745469450951
19,-731.7763302028179
20,-713.8243022561073
21,-721.5490890443325
22,-726.9805576205254
23,-722.129648566246
24,-738.736729234457
25,-712.0308609604836
26,-747.2875122129917
27,-723.0174248218536
28,-726.4521844089031
29,-724.164400100708
30,-714.6316819787025
31,-694.864807009697
32,-725.8320085406303
33,-699.8923662900925
34,-737.3005717992783
35,-706.5713632106781
36,-720.7477012872696
37,-728.5951554477215
38,-735.2089186310768
39,-744.7552188038826
40,-706.8878339529037
41,-709.1332435011864
42,-735.1783311367035
43,-740.8548060655594
44,-709.5671331882477
45,-724.8537580370903
46,-725.5184130072594
47,-750.4568030238152
48,-742.949367672205
49,-705.0077615380287
50,-720.815307199955
51,-722.3606888055801
52,-727.1156905889511
53,-708.0392763614655
54,-729.4607270658016
55,-710.7067324519157
56,-708.0286890268326
57,-716.3049737513065
58,-711.7688549160957
59,-729.1411013901234
60,-754.0017560720444
61,-708.2370254993439
62,-739.453311920166
63,-714.1612150073051
64,-722.8187295794487
65,-701.4695673584938
66,-741.6869162917137
67,-710.956382393837
68,-748.737099558115
69,-705.2154865860939
70,-721.1384451687336
71,-732.1074803769588
72,-704.4306203722954
73,-730.9918551445007
74,-700.0445002317429
75,-719.6201411485672
76,-684.7039691209793
77,-750.9837157428265
78,-716.2036269009113
79,-709.0397120118141
80,-709.5020133852959
81,-736.6986171603203
82,-726.5915315747261
83,-720.5971172451973
84,-726.1158155798912
85,-712.6632270812988
86,-709.5081859230995
87,-733.1233930587769
88,-737.2489404082298
89,-757.1869203150272
90,-733.735443085432
91,-729.0005142092705
92,-703.6065581738949
93,-707.5750162005424
94,-733.2205078303814
95,-726.4291238486767
96,-752.3760016560555
97,-731.9500760734081
98,-730.3985770195723
99,-719.7489256858826
100,-739.724124789238
101,-712.2738173604012
102,-711.5581772327423
103,-713.3639736771584
104,-709.6323045492172
105,-730.0335704088211
106,-735.3104799389839
107,-739.7034072577953
108,-693.3408851027489
109,-741.6627320945263
110,-743.1568430066109
111,-728.6682070791721
112,-734.0500321090221
113,-730.5205726921558
114,-693.2164882421494
115,-754.1847901344299
116,-713.262386739254
117,-731.1174446642399
118,-715.8224542438984
119,-720.2024928927422
120,-706.3770696520805
121,-709.5885152220726
122,-716.8104485273361
123,-713.7532351613045
124,-708.4297140836716
125,-728.8401662111282
126,-741.928577542305
127,-692.8016973137856
128,-723.700711786747
129,-710.0860936045647
130,-690.8126718401909
131,-745.1474057137966
132,-728.2525691092014
133,-722.1717433929443
134,-717.7229124009609
135,-730.1330887675285
136,-710.4406830370426
137,-690.0421622991562
138,-726.415927529335
139,-729.7580064833164
140,-707.6590194702148
141,-757.7404108941555
142,-709.8597598671913
143,-706.4914698004723
144,-717.0773839056492
145,-725.661603987217
146,-706.0986481308937
147,-723.7922624349594
148,-683.443010032177
149,-725.8730495274067
150,-733.7905994057655
151,-713.5741007328033
152,-737.5412595868111
153,-749.7701522707939
154,-721.8978908061981
155,-720.6332831978798
156,-711.9922682642937
157,-732.5894561111927
158,-750.2147793769836
159,-713.5177142620087
160,-733.0339427292347
161,-705.9098480343819
162,-723.2683396041393
163,-724.3814567923546
164,-736.3622491955757
165,-734.7361773848534
166,-715.2693749070168
167,-748.6670046746731
168,-729.309081017971
169,-728.442837446928
170,-707.5147125422955
171,-703.0258878171444
172,-762.6842609345913
173,-755.904094606638
174,-749.8185220956802
175,-747.7783461213112
176,-714.5915722250938
177,-717.6886921525002
178,-722.7163283228874
179,-727.5400107204914
180,-718.9180138111115
181,-743.7963719069958
182,-721.248874694109
183,-734.4958347082138
184,-712.7509491443634
185,-732.4327341914177
186,-712.4276272058487
187,-716.5805556178093
188,-715.4113710820675
189,-726.4374618530273
190,-760.2859217226505
191,-754.2900622487068
192,-694.6736913919449
193,-746.212199151516
194,-718.8828783631325
195,-718.8307603895664
196,-734.7503047287464
197,-726.7165099680424
198,-723.5953559875488
199,-704.9204775094986
200,-738.0284378230572
201,-702.5554287433624
202,-716.6484034061432
203,-715.9798255860806
204,-752.3271861076355
205,-726.275933265686
206,-733.9208633601665
207,-720.7911341786385
208,-747.2079240977764
209,-723.7759403884411
210,-761.4317723810673
211,-723.6246946752071
212,-709.6873387694359
213,-729.9190608263016
214,-711.3943877220154
215,-739.7537565231323
216,-740.0124642848969
217,-695.0716633200645
218,-717.3420917987823
219,-723.2670296728611
220,-707.8565979599953
221,-714.7224197983742
222,-712.6978559792042
223,-733.0427448153496
224,-715.2231296300888
225,-721.1201021373272
226,-726.7840954065323
227,-749.0008044838905
228,-726.2036460042
229,-724.0216286480427
230,-706.0973805487156
231,-717.4826427996159
232,-714.7482425570488
