episode,total_reward
1,-856.4105340763927
2,-852.0340208932757
3,-586.5873118937016
4,-583.9165293574333
5,-610.0009455680847
6,-640.9438675940037
7,-590.6016944646835
8,-609.2727102041245
9,-610.4409890174866
10,-596.9661137461662
11,-615.1396667957306
12,-598.5041990876198
13,-623.8699694871902
14,-617.0825084745884
15,-602.9249812960625
16,-621.4494163393974
17,-624.6437029838562
18,-625.7192530333996
19,-630.7039825022221
20,-606.9455059766769
21,-610.481098741293
22,-623.7232460677624
23,-644.8054296970367
24,-1090.4577812552452
25,-598.4857651591301
26,-647.1679284870625
27,-581.3166544139385
28,-596.9292646348476
29,-596.9099222421646
30,-581.6781283020973
31,-643.765833824873
32,-621.6542759537697
33,-620.8330543041229
34,-613.7619573771954
35,-653.0010224282742
36,-619.908266544342
37,-618.5012536346912
38,-588.3273591995239
39,-622.117318302393
40,-623.0404587984085
41,-630.6508583426476
42,-654.8738999962807
43,-614.7017185986042
44,-627.8573290705681
45,-707.684624671936
46,-1812.5435330718756
47,-633.1453718543053
48,-624.1404610276222
49,-634.1665102243423
50,-609.0400153100491
51,-635.6843639016151
52,-568.9037462472916
53,-607.5537575185299
54,-611.1518735289574
55,-614.5918237566948
56,-605.9931401610374
57,-614.2303838133812
58,-653.701324403286
59,-576.506775200367
60,-605.6352158784866
61,-613.48784288764
62,-605.5254634916782
63,-611.1475683748722
64,-611.7035762667656
65,-589.6306144297123
66,-595.2829042673111
67,-598.6341898441315
68,-624.7710857987404
69,-596.7065017819405
70,-583.0711978375912
71,-627.434644639492
72,-636.649879515171
73,-613.3727100491524
74,-611.7623133957386
75,-613.1647427082062
76,-616.4366145133972
77,-619.4522317349911
78,-648.9295659661293
79,-642.8994089066982
80,-586.715296536684
81,-601.202513217926
82,-1797.5530874207616
83,-1809.059204466641
84,-1797.7193430140615
85,-580.0529145598412
86,-1801.806506022811
87,-615.0884177386761
88,-590.2847874760628
89,-1799.2871960997581
90,-1695.2752354070544
91,-625.6025864481926
92,-612.3427349925041
93,-613.2264368832111
94,-629.874726831913
95,-596.134530544281
96,-1809.3693549409509
97,-634.1680876612663
98,-626.2800354361534
99,-591.7904381752014
100,-585.7181922197342
101,-647.4906008839607
102,-632.5376640856266
103,-646.7488685250282
104,-629.2387330234051
105,-640.2391596138477
106,-589.2596033811569
107,-596.1337320506573
108,-585.3128373622894
109,-625.6301316618919
110,-597.4268877804279
111,-803.300541035831
112,-606.6899571418762
113,-647.2182232737541
114,-621.9602153301239
115,-615.6461864709854
116,-620.7184524834156
117,-605.6217596232891
118,-624.4315865933895
119,-575.9082000255585
120,-625.4825713932514
121,-638.8795944154263
122,-623.1229675710201
123,-659.7291878461838
124,-615.6220747828484
125,-613.6304340362549
126,-622.5669238269329
127,-626.2787927389145
128,-621.0781310498714
129,-597.430906534195
130,-601.734512925148
131,-608.891268491745
132,-589.3871102333069
133,-634.4072270989418
134,-611.4530501961708
135,-615.7306483983994
136,-643.907644867897
137,-610.7072332799435
138,-627.5053418874741
139,-647.8503887951374
140,-640.8390512168407
141,-661.4754684567451
142,-1708.7368890792131
143,-640.2123245000839
144,-629.8930887877941
145,-622.5007105469704
146,-622.835144340992
147,-632.840499818325
148,-612.3301169574261
149,-605.1430001854897
150,-627.5238011181355
151,-608.4516260027885
152,-616.6024478673935
153,-616.8336384892464
154,-608.7926499843597
155,-629.6061401665211
156,-645.847590059042
157,-613.9245676398277
158,-627.7304062843323
159,-652.1244331300259
160,-611.9742802679539
161,-632.0228825211525
162,-649.0541476607323
163,-625.2444743812084
164,-590.7075080871582
165,-595.9351216554642
166,-604.9694486260414
167,-602.8425904214382
168,-611.4696572721004
169,-630.9873977899551
170,-605.4448675513268
171,-603.676392018795
172,-619.6657895445824
173,-601.0504415035248
174,-598.2132619917393
175,-621.118632376194
176,-606.4027242660522
177,-614.1713907420635
178,-612.5050983428955
179,-611.593161046505
180,-612.3361329436302
181,-608.194740831852
182,-614.6874561905861
183,-610.6483173668385
184,-628.530951321125
185,-588.9244095087051
186,-595.8011771738529
187,-621.6896219551563
188,-583.663346529007
189,-579.7089270949364
190,-606.7967064678669
191,-628.9590907096863
192,-635.1526563763618
193,-609.7484607696533
194,-627.2602126002312
195,-598.0156728029251
196,-637.7240038067102
197,-606.9897989630699
198,-593.8224500715733
199,-637.0377278029919
200,-657.1407492011786
201,-624.1740581393242
202,-640.7885616719723
203,-613.4075363576412
204,-585.734123557806
205,-577.870499432087
206,-622.0146875977516
207,-605.9917575120926
208,-591.7594248652458
209,-620.5133071541786
210,-607.5916698873043
211,-631.0320526361465
212,-591.5279096364975
213,-620.2419727444649
214,-600.9967464208603
215,-606.0751135349274
216,-651.2686876356602
217,-613.104355186224
218,-634.4190273582935
219,-619.3633002638817
220,-565.9650018811226
221,-621.0667555034161
222,-591.218686580658
223,-577.6805294752121
224,-593.615100979805
225,-638.314101010561
226,-611.9472051262856
227,-632.359749019146
228,-599.2882971465588
229,-608.9705113470554
230,-612.5838483572006
231,-622.2468602061272
232,-625.9217076897621
233,-617.035020172596
234,-590.4190841913223
235,-603.2680574655533
236,-605.0148929953575
237,-616.2263172864914
238,-601.6267586946487
239,-579.4481628239155
240,-608.8853127360344
241,-619.0348737239838
242,-598.3094809055328
243,-603.2770579457283
244,-618.6848957538605
245,-619.9897711575031
246,-602.0258177518845
247,-604.0181277394295
248,-619.5655717849731
249,-640.5032178163528
250,-635.6617147028446
251,-616.8688022494316
252,-657.8886676728725
253,-630.4080880880356
254,-621.4336920082569
255,-620.5579351782799
256,-643.5097238123417
257,-599.7040043473244
258,-610.228245139122
259,-609.0417264401913
260,-643.3245884776115
261,-587.4596259891987
262,-572.7223415374756
263,-621.924651414156
264,-622.2334666252136
265,-589.4873517155647
266,-612.1554704904556
267,-586.67189848423
268,-605.8065617084503
269,-602.440834581852
270,-644.04677516222
271,-607.4943020939827
272,-593.8471635580063
273,-611.5941798985004
274,-583.9467133283615
275,-613.2761964797974
276,-634.60575568676
277,-610.959813117981
278,-643.2310304939747
279,-638.6339119076729
280,-624.154943048954
281,-637.1416571140289
282,-591.4080167412758
283,-597.5194238722324
284,-618.4162863492966
285,-638.4528310894966
286,-636.3490069508553
287,-624.0515346825123
288,-598.3780521154404
289,-633.2663473784924
290,-640.6790303587914
291,-616.085611641407
292,-641.5317632257938
293,-599.8263256549835
294,-621.8299195170403
295,-632.4844181835651
296,-613.9939976930618
297,-600.1997343599796
298,-621.9061496257782
299,-615.0120450258255
300,-614.6895002126694
301,-618.2858912050724
302,-595.8688220381737
303,-622.6238639056683
304,-599.7867168188095
305,-629.3615385591984
306,-618.6562151908875
307,-619.5583536326885
308,-602.9432510137558
309,-617.5811969637871
310,-601.0407503843307
311,-636.820352435112
312,-610.8218437433243
313,-665.2255292534828
314,-603.740958750248
315,-619.7547117769718
316,-606.8495484292507
317,-576.8349799513817
318,-662.4050654172897
319,-593.2990156412125
320,-621.4168497920036
321,-603.495631635189
